iter	Passed	Remaining
0	73	73311
1	146	72931
2	219	73104
3	304	75736
4	381	75862
5	426	70638
6	506	71916
7	575	71403
8	653	71959
9	730	72297
10	821	73897
11	921	75877
12	1037	78732
13	1120	78892
14	1190	78145
15	1274	78404
16	1357	78489
17	1431	78093
18	1539	79475
19	1633	80047
20	1733	80816
21	1814	80675
22	1891	80353
23	1969	80080
24	2069	80728
25	2179	81665
26	2296	82762
27	2384	82790
28	2463	82479
29	2538	82066
30	2615	81758
31	2690	81394
32	2777	81387
33	2851	81025
34	2929	80783
35	3003	80427
36	3106	80864
37	3205	81148
38	3306	81466
39	3406	81755
40	3528	82534
41	3636	82956
42	3732	83071
43	3826	83145
44	3932	83454
45	4002	83001
46	4129	83739
47	4201	83337
48	4287	83207
49	4357	82793
50	4433	82503
51	4503	82104
52	4577	81796
53	4691	82181
54	4797	82425
55	4870	82104
56	4944	81796
57	5009	81353
58	5118	81640
59	5214	81695
60	5308	81716
61	5389	81532
62	5460	81213
63	5552	81206
64	5649	81261
65	5758	81491
66	5831	81209
67	5918	81115
68	6070	81903
69	6116	81267
70	6220	81391
71	6301	81218
72	6413	81439
73	6528	81691
74	6642	81927
75	6720	81711
76	6806	81593
77	6899	81559
78	7012	81755
79	7118	81865
80	7235	82092
81	7277	81467
82	7335	81047
83	7419	80912
84	7499	80726
85	7570	80457
86	7646	80247
87	7726	80071
88	7766	79500
89	7855	79429
